PRCP ID,Comment Score,Comment Score Reason,Comments
1000207812,0.65,Confusion about non-MD codes - needs outreach for potential incident to billing,6/23/23: and EDW - Non MD codes top billed…confused about codes?  Needs outreach-potential incident to - but need to confirm following guidelines.  Need to split by TINS to see if this is a group pattern  Marjoity NH billing.
1000208203,0.15,Primarily inpatient services - no other patterns of concern - case closed,5/3/23:  Close case - primarily IP servies. priarmily IP billing and no other patterns of concern.
1000210248,0.5,High complexity billing - long days addressed - QR now - case closing,6/16/23 staffing-ORC took place 8/30/22 - been almost a year since intervention-High complexity e/m - non traditional MD - telemental health services - a few long days---QR now---as these patterns to not appear to be occuring at this time - CPS is closing case.
1000211683,0.4,Mostly telehealth with some long days - group reviewed - individual open at committee for further action,5/12/23:  2I Rhode Island Counseling Associates---has 3B as well---mostly telehealth - group wsa reviewed---providers in general do not have long days - but he does. 2I is group ending in 11858; Open at individual committee.
1000220734,0.25,Older long days -  telehealth billing - pass after review - mostly telehealth - no current concerns after review - pass,5/10/23:  MD in GA - triggered for long days - add ons….on EDW billing…1 non-MD code….majority of telehealth - long days are older - 1 x  11 hr 2023---nothing current…would mostly be a thx add on  - and they were for the most part 90833s.  Pass--math on long days would put pt ct at 8-9 pe day.  
1000221952,0.35,Minimal non-MD codes - discrepancy noted with PLINX - needs data re-run for accuracy,5/12/23:   for Elite DNA which was closed 4/10/23--very minimal non-MD codes….in individual PPA---previously closed in April… does not jive with PLINX and shared folder; need to re-run data.
1000222531,0.25,Supervisory Protocol in place accounting for longer days - minimal out of state billing - no case opening,5/3/23 SP in PLINX - Initial Patterns- Provider triggered for longer days - out of state billing - and is billing from two Tins. Upon staffing with PM Manager will not open case - provider has Supervisory Protocol which accounts for longer days and minimal out of state billing.
1000226224,0.2,MD in RI - primarily IP - explained long days - no current concerns,5/25/23-MD RI - 2I - closed in 9/22 tx'in gprimarily IP - new PPA--still IP - all E/M…91% IP-Affinity Physicians-multi disciiplinary group-long days explained…
1000230849,0.4,Information sent to PS - case open - no additional details provided,5/17/23--sending info to PS…5/17/23 :  pulled up -Aileen has case open to 3B NassauCounty
1000233953,0.6,Admitted to billing for others - long days recently - case actionable and needs workup,5/17/23:  open to Gayna---admitted to billing for others…has a large practice.  Last spoke to her in 2021.  PNI closed oversettlement 6 months ago.  This needs to be worked up---still some long days as recently as January.  Actionable...Gayna to reopen case and send to committee.  gayna to send to committee as of 5/25 when staffed again.
1000236938,0.1,MD in RI - previously addressed for another provider - no current action needed,5/25/23:  MD  - 2I in RI--Affinity-addressed for prior provider.
1000242087,0.3,Group billing under review - no individual patterns - pass,5/9/23:  EDW claims only - MD in GA--triggered for states and add-ons--group is open….Psychiatric Professionals of GA--thx add on - non-prescriber and incident to.  They have billing for others written into contract-documented in PLINX.PASS
1000247842,0.3,MD billing mostly E/M and therapy - no significant concerns,6/2/23:  MD - FL-triggered for states-Provider doing mostly E/M - therapy is on CCR tx - but expected---pass.
1000249243,0.45,Removed flags but still billing non-MD codes - moderate exposure - needs staffing review,5/16/23:  flag was in place as of 5/22/22---on check of RAPID-10/13/22 flags were removed for passing rate on audit.  Triggering for long days and states now.  Has multiple TINS. 1 Long day.  She is an MD   Increased her billing for Medicaid--total exposure. still billing non-MD codes...Total non-MD code billing has not really changed that much.   Bring to staffing.  Staffing: 5/16/23-AVP recommended extracting Medicare and DSNP from pivot-no practice patterns worth of outreach at this time.
1000249319,0.15,No billing activity - termed from previous connections - monitoring with Lifespan,5/19/23-MD RI  - 2I - Recovery Connections-termed and Community Care Alliance 3B-termed; no billing .  INN with Lifespan---Run Lifespan PPA
1000250184,0.65,Incorrectly run - very long days reported - needs review,5/15/23:  MD in FL---need to select provdier on these.were run incorrectly.  Has 19 hour days….send PPA---
1000251675,0.15,Flag placed - case should be closed - minimal action required,5/24/23-Open to Gayna-flag placed as of 4/20/23.  Case should be closed.  Sent email to Gayna to close.
1000251748,0.35,Triggered for state and therapy add-on codes - billing reviewed and confirmed - ongoing monitoring,5/10/23:  MD in FL - triggered for states and thx add-on codes.  Elite DNA was passed on as a group.  3B is the only Tin bringing in claims; sent IM to TJ....confirmed provider can bill non-traditional MD codes in FL as 3B for other clinicians.
1000255202,0.3,MD with some frequency in billing but no significant patterns of concern,6/30/23: MD in FL - triggered for CCtx - some frequency but has a small bit of IP POS - no add-ons - no patterns of concern.
1000257540,0.35,MD triggered for states - no patterns to address - needs group PPA,6/2/23 MD in WI - triggered for states--no patterns to address-need group PPA for Aurora. Directed CPS to run group PPA  She is the provider on the Aurora PPA--group was run-very large--no immediate patterns.  
1000259428,0.1,Case closed due to time since last intervention and only trigger was different states with low exposure,5/12/23:  closed current case given time since last intervention of 3/3/22…Only trigger was different states and exposure was  low
1000263971,0.55,ORC and auditing in progress,6/8/23 ORC / auditing
1000264204,0.5,ORC completed - case open for monitoring,5/15/23:  ORC 3/20/23--case open to Gayna - due for monitoring 
1000268046,0.15,Minimal non-traditional MD codes billed - very low claim volume - does not warrant Practice Management outreach at this time,5/8/23:  staffed with AVP and mgr:  NB-- doing H2036 (Both are ASAM 3.7-H2036 is the Adol MMIntensive IP tx - 0011 is the ASAM 3.7 WM -withdrawal management.  A small number of the non-traditional MD codes on the 1A TIN #341864540 with the most recent date of service of 3/29/23 for this provider. The claims submitted for these CPT codes are very minimal and therefore would not necessitate an outreach call from Practice Management at this time.
1000272889,0.55,ORC scheduled - case under review for incomplete notes - pending further investigation,5/5/23-open also to Gayna--ORC scheduled for 5/10; reviewed by manager 7/11 and asked GH to review for incomplete notes-PNI referral
1000273339,0.6,Recent referral - supervises mid-level clinicians - educated on billing - monitoring required,7/9/23Open-to Gayna-recent 3/27/23 ORC PNI referral done-Supervises mid level clinicians and thearpists-was edcucated re: incident to - and as to inability to bill for licensed staff for commercial and Medicaid. 
1000275955,0.25,MD with Medicare billing - no add-ons - pass based on review,6/2/23: MD in AL - triggered for addons - long days - states - only has claims at the 1A.  Long days have primarily medicare billing - could be incident to - mostly office work - pass---based on content of long days---this is doable…pass. Some telehealth--
1000281799,0.4,Intervention successful with billing corrected - no further action required,HG:  5/3/23:MD - 1A - previously billing 90834s instead of 90833s-we did ORC 3/17/22; no more 90834s in post intervention billing as of today
1000282394,0.3,Mostly IP work - no patterns of concern - frequency due to IP - pass,6/30/2023 Conc tx-but he does mostly IP work - no patterns of concern - freq is up due to IP - conctx expected. 
1000286450,0.2,ORC closed - no non-MD codes for commercial or Medicaid,6/23/23:  ORC in Feb 23 - closed as incident to only-no non-md codes for commericial or medicaid.
1000287538,0.4,Tip for billing not on BH fee schedule - sent to network for review,6/20/23:  case had a tip for 99457 paying despite not being on BH fee schedule; sent to network. Other patterns appeared to be more one-offs than patterns - would not outreach right now.
1000288616,0.7,Billing E/M as PhD - frequency up - psych testing - ORC needed,7/7/23:  PhD in MO; 99358 on EDW as E/M billed by PhD-- ORC necessary. 11% of billing. Frequency is up--doing some psych testing though.  
1000290491,0.25,MD billing mostly IP psych - E/Ms and TMS - no actionable patterns - pass,5/26/23;  MD in MO-triggered for states--all E/Ms and TMSmost and mostly IP psych - all E/Ms…small telehealth--no actionable patterns-pass
1000291082,0.55,Multiple TINs with supervisory protocol - group versus individual billing to be reviewed - potentially actionable - review needed for group vs. individual billing,5/10/23:  states and add-on codes--2 TINS-2Is apparently - has SP on his case-----need to run group v. individual ---individual might be actionable as long days and SP---but the codes billing suggest he might be superive fully licensed folks--need to Commercial/Medcaid v. Medicare billing.--need to run group.    
1000292943,0.45,Requires monitoring - no specifics provided,6/8/23-needs monitoring
1000293325,0.2,All E/M billing - no long days - small amount of telehealth - pass,5/19/23-triggered for cctx and states - all E/M - no long days - varied dx - small amt of telehealth //pass
1000296322,0.4,Long days but supervisory protocol in place - pass after PS PM review,5/9/23:  Case concerns include: 99.8% of billing is at 3B - long days present but expected as supervisory protocol is in place. No other patterns of concern. Next steps: Manager in agreement no PM OP patterns of concern to address - close case - but also forward to PS PM to review.
1000302230,0.45,Flag requested - no additional information provided,6/13/23:  flag requested 6/13/23.
1000302979,0.5,Monitoring due soon - previous PNI referral,7/11/23NB has case - PNI referral done--monitoring due 9/13/23
1000308995,0.3,Triggered for add-ons - but no other patterns of concern,6/30/23: triggered for add ons - data only at 1A-primarily 90833 - no other pattenrs of concern.
1000309406,0.25,Triggered for states - long E/M days - but no concerning patterns - pass,5/16/23:  triggered for states - Only doing E/Ms and  evals.. 2 long days at 10 hrs but only doing E/Ms.  Pass--no patterns…Cross billing issues x 3 but not patterns…..
1000309849,0.5,ORC completed recently - monitoring billing for licensed clinicians,7/9/23:  ORC on 7/7/23; acknolwedged billing for licensed and mid level clinicians to include NPs and Pas
1000309870,0.15,ORC initially scheduled - case closed after leadership review,5/16/23:  ORC was being scheduled; 7/11/23:  following feedback from leadership on further review of potential patterns - case was closed.
1000312947,0.25,Checking telehealth origination codes - long days but supervisory protocol applies - case pending verification,5/12/2023 - 2I in RI-check with network on Q code for telehealth origination….long days but SP would apply.. Will close if Q code is legitimate on fee schedule.
1000342543,0.2,No billing identified - out of PM scope - minimal risk,7/9/23-re-ran PPAs--EDW only - and all but 1 client was ID Medicaid-out of scope for PM; No billing
1000347454,0.35,Primarily HCPC billing - no other details provided,6/23/23:  Billing on  is primarily HCPC billing - 
1000361607,0.2,SP issues may play in for case - closed for now,5/9/23:  prior open case - went to NR - but when reviewing PPA again - it appeared that SP issues may play in for this case.  Closed case at this time and will consider reopening once SP issues are solidified.
1000365787,0.3,Case open with pending email follow-up - staffing pending for future review,5/10/23Open to Natasha--sent email as still on QR--was this addressed; case staffing pending in future acitvities for 7/14/23.
1000366111,0.15,Previously reviewed - needs additional PPAs to file - minimal action required,5/26/23:  recviewed previously in April 10 - 2023--add PPAs to file
1000367021,0.4,Medica and MN billing - sent for managerial review,6/9/23-2I with PhD.  Medica and MN send to Mgr for Karen review
1000369567,0.25,Flag in place - no other triggers - case to be closed,5/9/23:  Flag was requested 3/3.  Flag is in place per PNI.  Completed on all platforms…sent email to Gayna 7/9/23  on re-review of this case to please close it.
1000371518,0.45,Open for review due to new tip,6/30/23: open for new tip-in queue to schedule-
1000373594,0.55,Billing for neurofeedback inappropriately - PNI referral done,6/23/23:  provider was billing for neurofeedback inappropriatesly.  PNI referral was done.  Was billig under the 90837 code. 
1000373699,0.35,Slightly longer days in GA - no apparent pattern but requires note correction or addendum,5/18/24:  LCSW in GA---triggered for states; slightly longer (9 hr) days but do not appear to be a patterns---there were 3 instances.  7/11/23--on review-sent Gayna a note requesting correction or addendum--note references Happier Living but provider does not appear affiliated iwth Happier Living-it's Lifestance.
1000376092,0.65,Long days previously unaddressed - needs new evaluation and call,7/10/23: triggering for long days---prior ORC in Jan 2023 did not appear to address long days - only telehealth in different states.  Provider is not a 2E as detailed on ICL---and this would go away anyway.  Not clear that we have addressed all the triggers.  Crisis add-ons were minimal although he appears to be  billing them without the 90839. Needs new call. Sent to GH
1000381999,0.1,Almost all Medica - forwarding to Medica team,5/12/23--Almost all Medica---Utilizing 99349)  Forward to medica
1000383580,0.2,Small amount of non-MD billing - no long days - minimal concern - pass,5/26/23:  MD in GA--triggered for states and add-ons. No long days though - very small amt of non MD billing - little bit of MFM-not where we go---very small amt of non MD - like 6k total….pass - thx add ons are there - but 90833 not a significant issue to discuss given what she doing.
1000386263,0.45,Incomplete information - need to rerun reports for clarity,7/11/23:  PPAs not on file in PLINX; note is documented but provides no information-need to re-run reports
1000393490,0.55,Provider not easily identified in billing - limited claims - no outreach warranted,as of 5/24/23:  on this TIN - Deborah (Debra) Smith does not come up as a provider choice when trying to run claims---when running the whole TIN with all providers - her name also does not appear as an option when sorting raw claims.  One of her TINS is a St. Charles Hospital affiliation so medical codes are coming up on PPA.  On EDW with both TINS run - when her name is selected she only has 8K in cliams. SHe is a PhD and does some psych testing.  No patterns worth of outreach on this PPA.; 7/12/23:  none of the billing is coming up in her name based on teh TIN on this report and all TINS with the same NPI for this provider.  EDW shows only 8K in billing.  
1000417305,0.3,Minimal non-MD codes - mostly telehealth - frequency and add-ons not concerning,6/16/23:  triggered-states and add-ons - only has EDW billing - add on psychotherapy - minimal non-MD codes - mostly telehealth - ADHD billing - no long days - Doing add on with pirmarily 99214- - freuquency is fine - a bit of psychotherapy in concurrent table - but not enough to warrant ORC...pass
1000417588,0.25,Triggered for long days but comprised mainly of e/m and some telehealth - rounds completed - no current concerns,5/5/23-triggered for long day - when viewed--long days are comprised of primarily e/m.  Some telehealth but not all-some IP....completing rounds.  Passed at this time.
1000424444,0.55,Previous ORC and PNI referral - continued monitoring for billing for others,5/15/23: 1/13/22 ORC - PNI referral for billing for others;  3/27/23--ORC---for continued possible billing for others.  Monitoring due.  Postential for case closure if monitoring reflects no issues.
1000424897,0.2,Flag for non-prescriber codes placed - case closed,6/16/23:  checked case - flagg requested had been placed for non-prescriber codes effective 12/12/22.  Closed case.  
1000429724,0.45,Billing reflects dual enrollees impacting long days; hospital billing increases frequency,6/9/23 billing at Lifespan-combination table was reflective of dual enrollees-which also would have impacted long days--frequency is up because of hospital billing.
1000433984,0.2,Case closed - addressed long days and add-ons,6/2/23-closed on 5/19/23 to KB already--- Long days - states and add ons---addressed - PNI referral was done….
1000434881,0.35,Past concerns addressed - current practices do not warrant further action,HG 5/2/23:  long days and add ons previously.  Provider is doing psychotherapy add-on with all patients - but only 90833 - long days appear to be made up of only 8-9 patients and there are only 2 days this long. 27% of diagnoses are ADHD with a mainly adult client base. No other current patterns of concern. staffed and closed
1000434915,0.3,SW with long days - but not a consistent pattern - pass,6/2/23-SW in WI - long days - 1 long daq 10 hr - 3 9hr---not a pattern. Pass  
1000437118,0.4,States flagged - TMS case reviewed - no individual patterns of concern,6/8/23-states - all claims at the Tin ending in 352; 2i - prior case for TMS tips--all E/M and TMS-did not run group 2I--as no patterns for individual provider
1000442232,0.3,Has SP in system - affiliated with groups - no current need for outreach,5/3/23:  has SP in system - 2 group affiliations - 1 x 2I and 1 x 3B--would not outreach for this at this time.
1000442731,0.55,Needs ORC due to persistent non-MD codes billing over $12K,5/16/23--need to ORC---based on monitoring as non-MD codes persist over 12K.  
1000442765,0.4,Billing at Sunrise - working with PRA - outstanding tip to address,6/2/23:  most of billing is at Sunrise which is open at the group level already….been working with PRA---there is an outstanding tip - she had to get there is a problem with the update of the contact information at the Sunrise groups…
1000451627,0.2,Multiple active TINs but majority of billing concentrated in one - mostly HCPC codes for meth maintenance and MAT - low billing for other codes - no concerns prompting action,5/9/23:  8 active TINS-4 3Bs - 1 x 2I - 1 x 2A and 2 x 1A's.  1 of the 3Bs has 90% of billing. Most of this is HCPC  codes for meth maintenance and MAT-Every other code is under 5K for billing for 1 yr.  Primary state is WA.Pass.  
1000469794,0.25,Only H codes billing - no standard outpatient patterns of concern - under review by public sector,5/5/23:  H codes-Only billing - H0011 - H0010-sent email to publice sector for review of HCPC billing as there did not appear to be standard OP Pattenrs of concern.  
1000471222,0.25,Audit revealed progress note issues but will close - low impact on claims review,6/28/23:  audit results call 5/24/23; 9 progress notes not unique - also not signifant and separately identifiable section for add on. PNI referral was done case is in validation.  Closing case - will consider reopening should tip or other issue arise.  Audit deficiencies would not be observable in claims review.
1000475467,0.1,Confirmed FQHC status - no further action needed - case closed,5/19/23:  RI - EDW primarily - LCSW - 2I Thundermist (2021 case)-check FQHC status appears to be FQHC---if FQHC - close - if not-run group bring back to staffing.  Confirmed FQHC status with PRA--and closed case on 5/22/23.
1000478829,0.2,Previous ORCs addressed - case closing as issues appear resolved,6/16/23:  several ORCs for this proivder - most recently on ORC on 6/23/21--more than a year ago.  PNI is in offsetting Closing case at this time.
1000485792,0.6,Open for committee review - PNI needed ASAP due to missed referral,6/2/23-open to Queue--EDW only--need post intervention PPA-assign-missed PNI from Erin S.  Gayna to assume case.  Committee and PNI needed ASAP.
1000497983,0.75,Triggered for IC - majority HCPCs codes - group adaptive billing - outreach approved,7/7/23 triggered for IC - KY-majoriy of billing appears to be HCPCs codes---exception being group adaptive 97154 code…. Approved by committee for outreach
1000499704,0.3,Similar to PRCP ID 1000242087 - no individual patterns - pass,5/9/23:  EDW claims only - MD in GA--triggered for states and add-ons--group is open….Psychiatric Professionals of GA--thx add on - non-prescriber and incident to.  They have billing for others written into contract-documented in PLINX.  PASS
1000501849,0.7,MD with ongoing billing concerns - patterns continue - case in scheduling for re-outreach,6/2/23-MD in FL - triggered for 4 thiings…long days - non-MD - states - add-ons…-non-MD codes - add ons - last ORC was last June - audit was lost.  Long days - but older - but still may be billing for others..Little bit of Medicare but majority of clients are commercial.  Gayna will work up case for re-outreach.  Patterns continue.  7/9/23-in scheduling process
1000508452,0.4,Primary billing is SUD HCPC codes and residential level - requires monitoring,6/30/23:  primary billing is SUD HCPC codes and residential level.  
1000514363,0.15,Rostering issue resolved - case closed by AVP direction,5/12/23:  MCCD  and Talkiatry.  Provider group was closedon 8/4.rostering issue was an error on Optums end in 4/2023. MCCD closed at AVP direction 4/4/23.  
1000514645,0.45,Exposure low - previously addressed concerns - monitoring for potential changes,NB:  5/3-close case - expousre low - no longer triggering for non-MD codes which were addressed a year ago---case will come up again if exposure rises.
1000515432,0.25,LCSW with minimal crisis billing and telehealth - supervisory protocol likely - no current action needed,5/12/23-LCSW - MA 1A is only one currently active xxxxx16218 TIN.  Triggered for crisis but only 127.00$ - Billing some telehealth - some long days but Sp….not warrant opening at this time---SP a primary pattern-long days---website indicates mutiple master's level clinicials she could be supervising.....
1000517728,0.55,Acknowledged billing errors - PNI referral done - billing declined since intervention,6/20/23:  ORC had taken place 1/10/23-provider thought she was only billing for those who needed supervision but on review she aknowledged billing for LICSWs and LMHCs who should be billing under their own name-PNI referral was done.  Overall billing appears to have declined significantly since pre-intervention. 
1000518129,0.3,Case previously closed - small exposure for non-MD codes - no current significant patterns,MD in FL---was closed in tip review in 2/2023--Gayna had case previous to that even was closed.  5/2/22:  PPA now--non-MD codes  very small exposure-not pattern…add-ons - TMS - some pscyh testing of small amt….pass.  Long days are really old. Staffed with AVP and Mgr-closed case as non-MD codes minimal and no other significant practic patterns.
1000529278,0.35,Billing only 3B - under PIP and IAs - case open and monitored,5/15/23:  ran PPA /Claims--only billing 3B; Health Commect Americal out of MS. Lori Latham has case open .  Group is on a PIP and IAs being done
1000529332,0.25,Monitoring completed - flag in place for codes - no current action for PM,1/10/23 note in PLINX indicating hold on ORC via AVP.  4/25/23 monitoring was done.  FLAG in place for all codes effective 2/10/23.//should read:  nothing for PM to address.    
1000529792,0.15,No patterns warranting ORC - telehealth consultations small - lots of hospital rounds,5/19/23-Case was open and CPS monitored; no patterns on PPA warranting ORC at this time---1A - 2I-CEP - group -telehealth consultaitons of smll amt….nothing on the group PPA to intevene on---lots of hopsital rounds.
1000530061,0.35,Longer days but could be SP issue - no other reasons to reach out - pass for now,6/16/23:  MSW - VT - 1A - staffed in Feb…still has longer days butr this is the only pattern and this could be SP…this would be the only reason to reach out…close /pass for now - may come back.
1000534184,0.25,Intervention took place - some long days but SP attached - monitoring situation,5/12/23---intervention took place 2/12/21-current PPA-as of 4/6/23-not current .  SP attached to contract.  Some long days but has SP attached to contract right now.
1000537869,0.1,3B group performing SUD treatment and MAT billing with HCPCS codes - no concerns - pass,5/1/23:  3B group - doing SUD tx - MAT billing HCPCS codes - pass
1000538189,0.3,MD with minimal non-MD codes and add-ons; total member base justifies billing,6/8/23:  MD in FL-triggered for states - thx add on codes - small amt of non MD codes. Amt was negligible.  Pass.  Add ons were also minimal in comparison to total member base. Content of long days when the math.  Day had 5-6 hrs of add ons and then the rest were e/ms---was doable.
1000540579,0.6,MD with unusual billing patterns - in scheduling - needs further review,6/8/23-MD in FL-2nd highest code - F90 top dx and not seeing that many kids - telehealth - all claims at the tin ending in 859--1A.  Incident to - telehealth - no add-ons.  In scheduling as of 7/11.  
1000542156,0.25,No significant concerns with add-ons or billing patterns - close case,"5/26/23  CC tx  - states and add ons…no current long days though….and lowest add on in terms of time…freuqency is low…all commercial---pass….  Call-add ons - telehealth -  actionable…?  Check billing for multiple TINS by provider…Provider's name is in the concurrent table several times for mbrs but it is clear that he transitioned from TIN 2A 752 to 2A 791 at the beginning of Oct 2022. No other practice patterns to outreach to provider to address as add on codes are all 90833 and no long days. 
Next steps: close case "
1000544957,0.2,Has 1 Oregon TIN - but billing predominantly occurs at 3B groups in Idaho - no specific concerns mentioned,5/1/23:  1 Oregon TIN but all of provider's billing is at 3B groups in Idaho
1000545019,0.35,PhD with Medica billing - case routed to Medica team for review,5/3/23:  PhD - MN - Medica on EDW and MN Metro on--route to Medica folks
1000545781,0.2,Old long days - low complexity E/M billing - H code billing stopped - pass,5/17/23--triggered for long days and add ons….1A is only Tin bearing claims.  No current long days.Long days are very old.Add on with low complextiy E/M.  H codes were not paying on EDW.H code billing on even stopped in 2022.  Pass
1000546516,0.45,Open to Gayna currently - ORC with PNI referral,6/23/23-open to Gayna currently.  ORC 4/28 with PNI referral. 
1000550663,0.45,Non-MD billing at 1A - case open for review,6/9/23-EDW only.  MD in PA - all the non-MD billing is coming in at the 1A Gayna has case open….-
1000552928,0.6,Add-ons with mid-level E/M complexity - no non-MD codes - some Medicare exposure,"7/7/23:  MD in FL - states.  There are add-ons,but lower time add ons with mid lievel complexity E/M; does do IP services - freuqency is up b/c of this.  Some 90791s but there is some Medicare exposure and could be incident to - no other non-MD codes."
1000558265,0.45,Undergoing PS outreach - only trigger for concurrent tx - pass,6/16/23:  Open to PS under TJ Bolton Young-only trigger for us was concurrent tx - PS is in outreach process; pass.  Billing H0038 - high units/week.
1000558543,0.35,No patterns of concern - codes look good - checking for OOS billing then close,6/16/23: SW in FL - triggered for states--no patterns.  Codes look good - no combo concerns - is doing telehealth-CPS to check OOS billing in claims and then close if none present.
1000560735,0.15,Billing H2019 TBS - longer days due to H code billing - frequency explained - pass,5/19/23-Billing H2019 TBS in MN - other codes about 92k in Medica; days are long due to H code billing for units - frequency is up due to H codes as well.  1A.  Pass
1000577587,0.4,Billing HCPC codes - under review - needs further clarification and monitoring,5/3/23: Medica billing on EDW - most of billin is on--provider is a PhD - provider is billing HCPC codes as 1A---  send email to Rebecca and TJ
1000577787,0.4,SW with long days possibly related to SP - no current outreach,6/30/23:  SW in WI - long days….does have longer days  EDW which could be SP--will not outreach currently.  This would be the only pattern.
1000580769,0.3,Therapy add-on codes with reasonable day length - no outreach needed,6/9/23--MD Fl - Therapy add on codes are mainly 90833. Slightly long day but it is EM and 90833 (11 mbrs). No other patterns worthy of outreach. 
1000585276,0.3,Affiliated with 3B and 1A - primary billing for crisis in ER - no other significant concerns,5/3/23:  Affiliated with 3B and 1A-LPC…S9485 3b is showing S9485-Crisis in ER (POS 23)--diversion program likely as this is her primary billing---next OP code is below threshold
1000586215,0.3,Low volume - limited members - no long days - missing group data - pass,6/2/2023 - 2A - MA - telehealth - with adults..Lifestance - 90836s as add-ons - very few members….pt's are seeing therapists….missing EDW group…tried 6 mos and 4  
1000589801,0.25,Monitoring showed add-ons didn't warrant outreach - case closed,6/16/23-closed after monitoring recently-add-ons did not warrant outreach at this time. Headway provider--pulled Headway PPAs.  APRN with add-on therapy codes and non-traditional prescriber codes. 
1000595511,0.35,Multiple TINs - CCTx expected with hospital treatment - primary IP billing,6/30/23:  Multiple tins - triggered for CCTx-expected with hospital tx - primary IP billing - day volume was good - frequeny is up as expected - 
1000600503,0.3,Detailed audit completed with positive findings - due for routine monitoring,ORC 11/29/22-long days - thx add ons - diff states.   Audit results meeting 5/3/23-audit addressed straight therapy notes and psychotherapy add on notes.  PNI for documentation supported use of evidence based psychotherapy - code billed met minimum time requirements - times overlapped with other services/members - service billed matched service provided - rendering provider on CMS 1500 claim form matched progress note -  progress note unique to session (therapy add on only) - psychotherapy was significant and separately identifiable.  Due for monitoring 8/3/23.
1000601962,0.7,Significant add-on billing with some concerns - telehealth and out-of-state billing - actionable,7/9/23:  Significant add-on psychotherapy with some 90836 and 90838 - some NON-MD billing - Mostly telehealth billing-with potential out of state billing based on location of provider compared to claims - more ADHD billing than children and adolescents - longer days are older - but still should address the Non MD codes…does have a little bit of Medicare. Actionable. Sent to GH
1000605631,0.6,Limited exposure and clientele - triggers present - potential for follow-up,7/9/23:  EDW only - 36k exposure; 7 metrics: doing spravado; only has 7 clients; some crisis; all office and all adults-has triggers and would be worth a call after bigger fish are fried.  Has 90838 add ons with all 7 clients - has crisis and crisis add on  - has ADHD dx for 32% of billing with all adults (but only 7 clients) - All office billing; pass for now given higher priorities.  
1000606278,0.5,Billing for others being reviewed - will need to re-run data,5/9/23:  Can't call about the SP stuff right now.  They were billing for others that were fully licensed (Tynise Penn was too).  Group was opened but closed 3/2023. Bring group and Pen and Safo PPAs to AVP staffing. (This was KBs case) - will need to re-run data 
1000606389,0.25,Concurrent tx billing makes sense with hospital context - pass,6/1/23 - MD in AL; triggered for concurrent tx-predominant hospital billing - minimal add ons….makes sense….pass
1000616750,0.3,Associated with MCCD - no patterns - pass due to rostering issues,6/2/23--associated with MCCD---no patterns-long days.  Add ons - states.  Provider is a 2A--pass due to rostering issue at MCCD per case documentation---Hollys had note on MCCD.
